"Admin1","EffCov14d2000","EffCov14d2001","EffCov14d2002","EffCov14d2003","EffCov14d2004","EffCov14d2005","EffCov14d2006","EffCov14d2007","EffCov14d2008","EffCov14d2009","EffCov14d2010","EffCov14d2011","EffCov14d2012","EffCov14d2013","EffCov14d2014","EffCov14d2015","EffCov14d2016","EffCov14d2017","EffCov14d2018","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","histITNcovMAP2000","histITNcovMAP2001","histITNcovMAP2002","histITNcovMAP2003","histITNcovMAP2004","histITNcovMAP2005","histITNcovMAP2006","histITNcovMAP2007","histITNcovMAP2008","histITNcovMAP2009","histITNcovMAP2010","histITNcovMAP2011","histITNcovMAP2012","histITNcovMAP2013","histITNcovMAP2014","histITNcovMAP2015","histITNcovMAP2016","histITNcovMAP2017","histITNcovMAP2018","histITNcovMAP2019","histITNcovsurveys2011","histITNcovsurveys2015","histITNcovsurveys2017","histITNcovsurveys2012","histITNcovsurveys2013","histITNcovsurveys2014","histITNcovsurveys2018","histITNcovsurveys2019","histITNcovsurveys2016","setting","histIRScovBendiocarb2008","histIRScovBendiocarb2009","histIRScovBendiocarb2010","histIRScovBendiocarb2011","histIRScovBendiocarb2012","histIRScovBendiocarb2013","histIRScovActellicEC2013","histIRScovActellicCS2014","histIRScovActellicEC2014","histIRScovActellicCS2015","histIRScovActellicCS2016","histIRScovActellicCS2017","histIRScovActellicCS2018","histIRScovActellicCS2019","histIRSmonthBendiocarb2008","histIRSmonthBendiocarb2009","histIRSmonthBendiocarb2010","histIRSmonthBendiocarb2011","histIRSmonthBendiocarb2012","histIRSmonthBendiocarb2013","histIRSmonthActellicEC2013","histIRSmonthActellicCS2014","histIRSmonthActellicEC2014","histIRSmonthActellicCS2015","histIRSmonthActellicCS2016","histIRSmonthActellicCS2017","histIRSmonthActellicCS2018","histIRSmonthActellicCS2019","histIRSmonthBendiocarbbis2010","histcovSMC2019"
"Atlantique",0,0.227457158,0.225249466,0.223041774,0.220834082,0.21862639,0.216418698,0.229158144333333,0.241897590666667,0.254637037,0.267376483333333,0.280115929666667,0.292855376,0.3229956385,0.353135901,0.33994254,0.326749179,0.313555818,0.300362457,3.30785221647546,3.50083135142324,4.16074056468023,5.3098503975094,6.51013392563912,7.78495585635318,8.0160570894805,6.00515017452027,4.55154726248752,4.51465379110533,4.52442307778284,3.95531256563426,0.0797122881518652,0.0475945922691473,0.0217158820379292,0.0214799092572463,0.038521354760807,0.0368982874186105,0.0445513926932014,0.191725256963053,0.141766140657859,0.105520746807105,0.185708447286725,0.561985576528189,0.549718815793961,0.204312260586437,0.195951592965457,0.227405707182341,0.130086371088362,0.616368196997103,0.746587698890458,0.639079445866224,0.617,0.752,0.787,0.580357639948796,0.472015526913771,0.799479438301073,0.740261689853651,0.602068427360028,0.611615410577644,"atlantique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Borgou",0,0.258400468,0.2644662654,0.2705320628,0.2765978602,0.2826636576,0.288729455,0.298298926166667,0.307868397333333,0.3174378685,0.327007339666667,0.336576810833333,0.346146282,0.376735291,0.4073243,0.38157614,0.35582798,0.33007982,0.30433166,6.91504641617661,7.57309754482126,7.65762425179853,9.70284859240156,16.0299535869552,19.923203831698,19.2311989093957,17.1196099773701,18.3069910787989,19.2322191134726,14.1632640491472,8.75309923250853,0.048063743695052,0.0325435686872138,0.0231732359051491,0.0244115328096843,0.0329168414118359,0.0274421113595538,0.0364446427719854,0.186007779877415,0.142878130169668,0.151287926597558,0.356447976362537,0.688169139807323,0.437035722190949,0.114244082317458,0.213390866750099,0.3396985996477,0.195318408545043,0.581522313493381,0.543449848158682,0.335836001821945,0.595,0.668,0.677,0.559664174666992,0.455185151561902,0.710175884022762,0.636794363444627,0.517916550600685,0.543296667906737,"borgou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Mono",0,0.124978788,0.161327591,0.197676394,0.234025197,0.270374,0.306722803,0.297306814666667,0.287890826333333,0.278474838,0.269058849666667,0.259642861333333,0.250226873,0.2954900735,0.340753274,0.32013191775,0.2995105615,0.27888920525,0.258267849,7.98341527106913,7.86071777649959,10.1702999128134,13.8046912915958,16.9662990866038,19.8291506060251,18.9432128904936,13.8472532944842,10.7625364042707,11.027545051102,11.8180815191562,10.2744870647003,0.0872754989434719,0.0535248317831573,0.026295664401401,0.0258282879782307,0.0427588397318803,0.0406642453275324,0.0514462435108545,0.21452227507529,0.157621936567932,0.120100593596451,0.21670310825058,0.598655387262651,0.551000500038257,0.202629306858804,0.209317840439269,0.225660538416574,0.133582709564241,0.667695808857337,0.790096904150368,0.663837856340712,0.604,0.81,0.833,0.568129683191366,0.462070305114939,0.861141416255145,0.783529844533788,0.637259212186663,0.658787875755175,"mono",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Oueme",0,0.209652966,0.2288517098,0.2480504536,0.2672491974,0.2864479412,0.305646685,0.306868792333333,0.308090899666667,0.309313007,0.310535114333333,0.311757221666667,0.312979329,0.293425099,0.273870869,0.27701130325,0.2801517375,0.28329217175,0.286432606,2.19787053018861,2.42089383487086,3.51887177505346,5.23376616680147,6.51475835017943,7.08363218786976,6.4815124107054,4.3936050177457,3.18156537284565,3.38793206209841,3.56537211044976,2.94012128003611,0.0834879964676047,0.046710011211627,0.0183576620549428,0.0178014248742282,0.0361076966838867,0.0350792464092197,0.0395866724063062,0.176994004333364,0.128759326359843,0.0975651374771477,0.179341753700279,0.543752172959032,0.502444095980239,0.164814506571455,0.157156285175508,0.183381058041171,0.100241147403841,0.528778136598453,0.632718680535986,0.489513940094929,0.595,0.656,0.644,0.559664174666992,0.455185151561902,0.697418233411574,0.60575416552192,0.492670987572882,0.533536847525179,"oueme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Zou",0,0.246636525,0.2587805626,0.2709246002,0.2830686378,0.2952126754,0.307356713,0.303213723333333,0.299070733666667,0.294927744,0.290784754333333,0.286641764666667,0.282498775,0.296845942,0.311193109,0.33349887075,0.3558046325,0.37811039425,0.400416156,6.5456691840681,5.90343563743664,7.55752725279749,12.1992609953769,16.4654555978137,18.8743675040929,18.6853250781658,15.3783836016263,14.0158614476715,14.1216077465733,11.8445906756233,8.63737375103378,0.0712218238313707,0.0424408511427692,0.0237907218686482,0.0251689453182927,0.0441001146462702,0.0388677571456938,0.0394681225125396,0.17245330264757,0.127884366405336,0.109169328753868,0.224163009918271,0.631495164409746,0.592957894987735,0.219015643332656,0.228751269425787,0.274014083796199,0.151992750537515,0.62704905928633,0.695291264831746,0.536932332227767,0.653,0.692,0.8,0.614219674046295,0.499556141125919,0.735691185245136,0.752489646611081,0.61201364915886,0.562816308669853,"zou",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Alibori",0,0.227894818,0.2532218732,0.2785489284,0.3038759836,0.3292030388,0.354530094,0.342749700666667,0.330969307333333,0.319188914,0.307408520666667,0.295628127333333,0.283847734,0.373388271,0.462928808,0.372730169,0.28253153,0.192332891,0.102134252,4.53632853469223,4.94058658682437,4.57828918451214,4.71697292030388,7.03064791316326,10.75620932166,13.7768716172562,13.8190751276345,13.9700719408576,12.9458689415523,8.61513783359853,5.32863412610505,0.0426282397539788,0.0303810458097913,0.0217465351585529,0.0228046346471755,0.0308860517738116,0.028204613142812,0.0438916956917199,0.199057876701683,0.153742495256619,0.170707649261427,0.407222343023577,0.746041175261895,0.519021347623682,0.17570984981232,0.332503949674092,0.481220606249597,0.221544774682721,0.57106548010759,0.581161885365993,0.409656257492148,0.68,0.66,0.637,0.639616199619419,0.520211601785031,0.701670783615303,0.599169881114073,0.487315868142742,0.536790120985698,"alibori",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Collines",0,0.227894818,0.243888184,0.25988155,0.275874916,0.291868282,0.307861648,0.312694119833333,0.317526591666667,0.3223590635,0.327191535333333,0.332024007166667,0.336856479,0.34073811,0.344619741,0.36277636325,0.3809329855,0.39908960775,0.41724623,4.89948401489982,4.45099117540424,5.17083725733264,7.61067519472516,10.6846664531099,13.777789400705,15.7078794358929,15.2240265552857,16.0863054972627,15.8917440075461,11.0397685037596,6.63371482859132,0.0463946226406393,0.0331961836826183,0.0224293974399505,0.0235293772270374,0.035758151952536,0.029204760676872,0.0328353986789655,0.159461997957159,0.117476135755903,0.106229995309076,0.231208008746132,0.617553390311069,0.532409085272249,0.17416859122337,0.189260131291615,0.213645718873836,0.111620186897042,0.562307511850116,0.635411737465677,0.433055114327159,0.596,0.815,0.681,0.560604786725255,0.455950168623351,0.866457104009806,0.640556811677683,0.520976618846479,0.662854467580824,"collines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Couffo",0,0.227894818,0.2459114188,0.2639280196,0.2819446204,0.2999612212,0.317977822,0.319138116333333,0.320298410666667,0.321458705,0.322618999333333,0.323779293666667,0.324939588,0.283368688,0.241797788,0.25360457175,0.2654113555,0.27721813925,0.289024923,5.11488125504438,4.15134875598778,4.87483751282356,7.26400356117253,9.39167102925999,10.5652895100181,11.0787251708805,10.2215939804734,9.45316483125544,9.52104997818078,9.20168674965287,7.39168076308417,0.0750017215263296,0.0479552023750557,0.0259386796925669,0.0263500258049835,0.0412698108857775,0.0361850642050736,0.0420995338896977,0.186414763842277,0.133996084686323,0.10230447591278,0.193385840720486,0.574322853315381,0.544311750433209,0.203770593898205,0.214491906807788,0.213565586783725,0.0923230518064758,0.563684666085042,0.681355240946593,0.515970328622169,0.605,0.65,0.708,0.56907029524963,0.462835322176388,0.691039408105981,0.665953337250807,0.541632079505591,0.5286569373344,"couffo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Donga",0,0.227894818,0.2485749476,0.2692550772,0.2899352068,0.3106153364,0.331295466,0.3232791205,0.315262775,0.3072464295,0.299230084,0.2912137385,0.283197393,0.373083819,0.462970245,0.4678105045,0.472650764,0.4774910235,0.482331283,10.7513935339127,11.0908024614848,12.5062138586432,16.5739091165321,21.7233224488435,23.4201776828964,22.7778889269357,21.4574463112508,22.0520766237665,20.1162770249761,15.1261564394292,12.2784392343906,0.0448309391795108,0.0323409597364676,0.0239967757868467,0.0236124368338475,0.0312598240560797,0.0270728768189979,0.0394669713834936,0.202694481929255,0.158901217921334,0.140443597235368,0.275130556549797,0.64199898571905,0.531516969334105,0.188899756306228,0.281696383038755,0.379054879668925,0.173933573877886,0.552306200892601,0.571352251960555,0.364957203731163,0.607,0.66,0.633,0.570951519366158,0.464365356299285,0.701670783615303,0.595407432881018,0.484255799896948,0.536790120985698,"donga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Littoral",0,0.227894818,0.2497515168,0.2716082156,0.2934649144,0.3153216132,0.337178312,0.339504909166667,0.341831506333333,0.3441581035,0.346484700666667,0.348811297833333,0.351137895,0.322052741,0.292967587,0.29037984075,0.2877920945,0.28520434825,0.282616602,4.28252879572381,4.13640161546264,4.51715464933289,5.49581022642685,6.90563108761968,8.41696624818966,8.19185881173598,6.17291514137649,5.51395444857804,5.97209344910528,5.94987814528827,5.16681925771776,0.0752710355506617,0.0441810043633292,0.0191549294729567,0.0185481479263536,0.0344066080474329,0.0337584963255414,0.0412318432669631,0.177326208828826,0.130541916443141,0.0945758536954802,0.156284058472111,0.503346368911164,0.491612024789772,0.171437459986489,0.1609990831754,0.184853552502877,0.103787724330827,0.574636725188945,0.718232293449383,0.601943076300327,0.645,0.789,0.807,0.606694777580184,0.493436004634331,0.838815527685567,0.759073931018928,0.617368768589,0.641708190087448,"littoral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
