name;pop2013;pop2014;pop2015;pop2016;pop2017;pop2018;pop2019;pop2020;pop2021;pop2022;pop2023;pop2024;pop2025;pop2026;pop2027;pop2012;pop2011;pop2010;pop2009;pop2008;pop2007;pop2006;pop2005;pop2004;pop2003;pop2002;pop2001;pop2000
abomey;92823;96081.0873;99453.53346;102944.3525;106557.6993;110297.8745;114169.3299;118176.6734;122324.6746;126618.2707;131062.572;135662.8683;140424.6349;145353.5396;150455.4489;89675.39368;86634.52196;83696.76549;80858.62766;78116.73042;75467.81028;72908.71441;70436.39688;68047.91506;65740.4261;63511.18356;61357.53411;59276.91442
abomey-calavi;655965;678989.3715;702821.8984;727490.9471;753025.8793;779457.0877;806816.0315;835135.2742;864448.5223;894790.6654;926197.8178;958707.3612;992357.9896;1027189.755;1063244.115;633721.3796;612232.0351;591471.3894;571414.7323;552038.1917;533318.7052;515233.9921;497762.5274;480883.5159;464576.8679;448823.1745;433603.6851;418900.2851
adja-ouere;115953;120022.9503;124235.7559;128596.4309;133110.1656;137782.3324;142618.4923;147624.4014;152806.0179;158169.5091;163721.2589;169467.875;175416.1975;181573.306;187946.529;112021.0608;108222.4527;104552.6545;101007.2983;97582.16436;94273.17589;91076.39445;87988.01511;85004.36201;82121.88388;79337.14992;76646.84564;74047.76895
adjara;96901;100302.2251;103822.8332;107467.0146;111239.1069;115143.5995;119185.1399;123368.5383;127698.774;132181.0009;136820.5541;141622.9555;146593.9212;151739.3679;157065.4197;93615.10965;90440.64308;87373.82193;84410.99597;81548.63875;78783.3434;76111.81857;73530.88452;71037.46935;68628.6053;66301.42527;64053.15938;61881.13166
adjohoun;74956;77586.9556;80310.25774;83129.14779;86046.98088;89067.2299;92193.48967;95429.48116;98779.05595;102246.2008;105835.0425;109549.8525;113395.0523;117375.2186;121495.0888;72414.25949;69958.70881;67586.42529;65294.58534;63080.46115;60941.4174;58874.90813;56878.4737;54949.7379;53086.40508;51286.25745;49547.1524;47867.01999
agbangnizoun;72727;75279.7177;77922.03579;80657.09925;83488.16343;86418.59797;89451.89076;92591.65212;95841.61911;99205.65994;102687.7786;106292.1196;110022.973;113884.7794;117882.1351;70260.84436;67878.31549;65576.57761;63352.89114;61204.60935;59129.1753;57124.11873;55187.05316;53315.67304;51507.75098;49761.13514;48073.74663;46443.57707
aguegues;44484;46045.3884;47661.58153;49334.50304;51066.1441;52858.56576;54713.90142;56634.35936;58622.22537;60679.86548;62809.72876;65014.35024;67296.35393;69658.45596;72103.46776;42975.55792;41518.26675;40110.392;38750.25794;37436.24572;36166.79134;34940.38387;33755.56359;32610.92028;31505.09157;30436.76125;29404.65776;28407.55266
akpro-misserete;121571;125838.1421;130255.0609;134827.0135;139559.4417;144457.9781;149528.4531;154776.9018;160209.5711;165832.927;171653.6628;177678.7063;183915.2289;190370.6535;197052.6634;117448.5557;113465.9025;109618.3002;105901.1691;102310.0852;98840.77399;95489.10635;92251.09299;89122.87991;86100.7438;83181.08762;80360.43631;77635.43262
allada;127493;131968.0043;136600.0813;141394.7441;146357.6996;151494.8549;156812.3243;162316.4369;168013.7438;173911.0262;180015.3032;186333.8404;192874.1582;199644.0411;206651.547;123169.7421;118993.0848;114958.057;111059.856;107293.8422;103655.533;100140.598;96744.85361;93464.25815;90294.90692;87233.02765;84274.97599;81417.23118
aplahoue;170069;176038.4219;182217.3705;188613.2002;195233.5235;202086.2202;209179.4465;216521.6451;224121.5549;231988.2214;240131.008;248559.6064;257284.0486;266314.7187;275662.3653;164301.9998;158730.5572;153348.041;148148.0446;143124.3789;138271.0646;133582.325;129052.5794;124676.4365;120448.6876;116364.3006;112418.4143;108606.332
