Admin;PfPR_RDT;PfPR_Microscope;age;survey;year_start;month_start;year_end;month_end
Alibori;0.378;0.474;0-5;DHS;2011;12;2012;3
Atacora;0.383;0.511;0-5;DHS;2011;12;2012;3
Atlantique;0.214;0.219;0-5;DHS;2011;12;2012;3
Borgou;0.253;0.341;0-5;DHS;2011;12;2012;3
Collines;0.359;0.228;0-5;DHS;2011;12;2012;3
Couffo;0.463;0.378;0-5;DHS;2011;12;2012;3
Donga;0.401;0.436;0-5;DHS;2011;12;2012;3
Littoral;0.037;0.226;0-5;DHS;2011;12;2012;3
Mono;0.201;0.122;0-5;DHS;2011;12;2012;3
Oueme;0.107;0.147;0-5;DHS;2011;12;2012;3
Plateau;0.274;0.22;0-5;DHS;2011;12;2012;3
Zou;0.2;0.261;0-5;DHS;2011;12;2012;3
Benin;0.248;0.284;0-5;DHS;2011;12;2012;3
Alibori;0.423;0.43;0-5;MIS;2015;10;2015;11
Atacora;0.621;0.621;0-5;MIS;2015;10;2015;11
Atlantique;0.158;0.179;0-5;MIS;2015;10;2015;11
Borgou;0.549;0.571;0-5;MIS;2015;10;2015;11
Collines;0.542;0.542;0-5;MIS;2015;10;2015;11
Couffo;0.5;0.514;0-5;MIS;2015;10;2015;11
Donga;0.512;0.548;0-5;MIS;2015;10;2015;11
Littoral;0.057;0.075;0-5;MIS;2015;10;2015;11
Mono;0.259;0.276;0-5;MIS;2015;10;2015;11
Oueme;0.073;0.098;0-5;MIS;2015;10;2015;11
Plateau;0.426;0.441;0-5;MIS;2015;10;2015;11
Zou;0.436;0.491;0-5;MIS;2015;10;2015;11
Benin;0.366;0.388;0-5;MIS;2015;10;2015;11
Alibori;0.36;0.37;0-5;DHS;2017;11;2018;2
Atacora;0.539;0.497;0-5;DHS;2017;11;2018;2
Atlantique;0.237;0.342;0-5;DHS;2017;11;2018;2
Borgou;0.513;0.449;0-5;DHS;2017;11;2018;2
Collines;0.416;0.423;0-5;DHS;2017;11;2018;2
Couffo;0.543;0.513;0-5;DHS;2017;11;2018;2
Donga;0.402;0.469;0-5;DHS;2017;11;2018;2
Littoral;0.042;0.167;0-5;DHS;2017;11;2018;2
Mono;0.259;0.38;0-5;DHS;2017;11;2018;2
Oueme;0.145;0.262;0-5;DHS;2017;11;2018;2
Plateau;0.339;0.372;0-5;DHS;2017;11;2018;2
Zou;0.368;0.369;0-5;DHS;2017;11;2018;2
Benin;0.364;0.391;0-5;DHS;2017;11;2018;2
